CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
43604,,,"2-Propenoic acid, 2-methyl-, butyl ester, polymers with alkyl methacrylate, substituted-methylethyl-terminated hydrogenated polyalkene methacrylate, Me methacrylate and styrene",,"This chemical has been assessed:

        • as meeting the PLC criteria (Schedule 2 of the Rules) and
        • as not meeting the definition of lung overloading potential [within the meaning given in the Industrial Chemicals Categorisation Guidelines (the Guidelines)]

",,,
43610,,,"2,5-Furandione, polymer with 1-alkene, .alpha.-methyl-.omega.-(2-propen-1-yloxy)poly(oxy-1,2-ethanediyl) and 1-alkene, alkyl amide",,"This chemical has been assessed:

	• as meeting the PLC criteria (Schedule 2 of the Rules) and
	• as not meeting the definition of lung overloading potential [within the meaning given in the Industrial Chemicals Categorisation Guidelines (the Guidelines)]

",,,
43620,,,"Fatty acids, dimers, hydrogenated, polymers with alkanediol and methylenebis[isocyanatobenzene]",,"
The polymer was assessed for industrial adhesive and sealant use (non-spray):

	• imported into Australia at up to 35 tonnes per year
	• imported at a concentration of 20% or less, in finished end-use products
	• as having low molecular weight species less than 1000 g/mol below 7% and less than 500 g/mol below 1%


",,"Introducers of the assessed chemical, including assessment certificate holders or persons covered by an assessment certificate, must advise the Executive Director within 20 working days if additional information has become available to the person as to reports of an adverse effect of the assessed chemical on worker health and safety.",
43641,,,"Amines, polyethylenepoly-, reaction products with 2-[(carbopolycyclicoxy)methyl]heteromonocycle and succinic anhydride monopolyisobutenyl derivs.",,"The chemical has been assessed: 

	• as a polymer with a number average molecular weight greater than or equal to 1,000 g/mol, having low molecular weight species less than 1,000 g/mol below 5%, and functional group equivalent weight (FGEW) of amines greater than 1,000 g/mol;
	• as imported into Australia at up to 200 tonnes per year;
	for use by workers only. 

",,,
43683,,,"2‐Propenoic acid, branched alkyl ester, polymer with 1‐alkene",,"This chemical has been assessed as:

	• as a polymer that meets the PLC definition (Schedule 2 of the Rules) and
	• as a polymer that is not a high molecular weight polymer that has lung overloading potential (within the meaning given by the Industrial Chemicals Categorisation Guidelines)
	• as an ingredient in lubricant products for general machinery

",,,
43725,,,"Amides, from alkanoic acid, ethylenediamine, hydrogenated plant-based oil fatty acids and octanoic acid",,"This assessment was performed on a reaction mixture which is comprised of two chemicals, assessed as:

	• imported into Australia for use by consumers and professional workers up to a combined volume of 5tonnes/year 
	• imported neat for local reformulation of end-use surface coatings at up to 2%concentration and end-use sealant products at up to 7% concentration 
	• imported as a component of finished end-use coatings at up to 2% concentration and finished end-use sealant products at up to 7% concentration
	• imported in inks at up to 3% concentration contained within writing implements at up to 1 tonne/year (included in the total import volume of up to 5 tonnes/year)

",,,
43726,,,"Amides, from alkanediamine, decanoic acid, hydrogenated plant-based oil fatty acids and octanoic acid",,"This assessment was performed on a reaction mixture which is comprised of two chemicals, assessed as:

	• imported into Australia for use by consumers and professional workers up to a combined volume of 5tonnes/year 
	• imported neat for local reformulation of end-use surface coatings at up to 2%concentration and end-use sealant products at up to 7% concentration 
	• imported as a component of finished end-use coatings at up to 2% concentration and finished end-use sealant products at up to 7% concentration
	• imported in inks at up to 3% concentration contained within writing implements at up to 1 tonne/year (included in the total import volume of up to 5 tonnes/year)

",,,
43741,,,"Glycine, N-methyl-N-[(9Z)-1-oxo-9-alkenyl]-, calcium salt (2:1)",,"The chemical was assessed as an additive in lubricant products for use only in an industrial setting by workers. 
It can be imported into Australia:

	• at up to 10 tonnes each year;
	• as an additive in lubricant products with a concentration up to 1%. 

",,,
43751,,,"2-Propenoic acid, 2-methyl-, alkyl ester, polymer with alkyl 2-propenoate, alkyl 2-propenoate, alkyl 2-propenoate and alkyl 2-methyl-2-propenoate",,"The polymer has been assessed:

	•  as meeting all criteria for a polymer of low concern (PLC) as per Schedule 2 of the Industrial Chemicals (General) Rules 2019, except for the criterion of being a stable polymer (within the meaning given by the Guidelines)
	•  for use in crude oil refining

",,,
43763,,,"2-Propenoic acid, 2-methyl-, Cx-y-alkyl esters, polymers with N-[(dialkylamino)alkyl]-2-methyl-2-propenamide, alkyl methacrylate, alkyl methacrylate and stearyl methacrylate",,"The chemical has been assessed:

	• as a polymer that meets the polymer of low concern (PLC) definition (Schedule 2 of the Industrial Chemicals (General) Rules 2019) and
	• as a polymer that is not a high molecular weight polymer that has lung overloading potential (within the meaning given by the Industrial Chemicals Categorisation Guidelines)
	• as an ingredient for driveline and engine oils in automotives

",,,
