NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
1,83804-09-5,YES,"Chromate(1-), bis[4-[(2-chloro-4-nitrophenyl)azo]-2-[[(2-hydroxy-5-nitrophenyl)imino]methyl]phenolato(2-)]-, sodium",KE-05959,,,,,,,,,
2,83804-10-8,YES,"Chromate(1-), bis[4-(2-chloro-4-nitrophenyl)azo]-2-[[(2-hydroxy-5-nitrophenyl)imino]methyl]phenolato(2-)]-, lithium",KE-05958,,,,,,,,,
3,9007-28-7,YES,"Chondroitin, hydrogen sulfate",KE-05957,,,,,,,,,
4,,YES,Choline salt of 6-hydroxy-2H-pyridazine-3-one,KE-05956,,,,,,,,,
5,28319-77-9,YES,Choline glycerophosphate,KE-05955,,,,,,,,,
6,77-91-8,YES,Choline dihydrogen citrate,KE-05954,,,,,,,,,
7,9028-76-6,YES,Cholesterol oxidase,KE-05953,,,,,,,,,
8,303-43-5,YES,Cholesterol 3β-oleate; Cholest-5-en-3-β-yloleate,KE-05952,,,,,,,,,
9,9026-00-0,YES,Cholesterol esterase,KE-05951,,,,,,,,,
10,27321-96-6,YES,"α-[(3β)-Cholest-5-en-3-yl]-ω-hydroxypoly(oxy-1,2-ethanediyl)",KE-05950,,,,,,,,,
11,17110-51-9,YES,(3β)-Cholest-5-en-3-ol (Z)-9-octadecenyl carbonate; Cholestryl oleyl carbonate,KE-05949,,,,,,,,,
12,1182-66-7,YES,(3β)-Cholest-5-en-3-ol nonanoate; Cholesteryl pelargonate,KE-05948,,,,,,,,,
13,,YES,(3β)-Cholest-5-en-3-ol alkanoate (C=4-24),KE-05947,,,,,,,,,
14,604-35-3,YES,"(3β)-Cholest-5-en-3-ol acetate; Cholesteryl acetate, Cholest-5-en-3β-yl acetate",KE-05946,,,,,,,,,
15,57-88-5,YES,"Cholest-5-en-3β-ol; Cholesterol, Cholesterin",KE-05945,,,,,,,,,
16,128-33-6,YES,"5-α-Cholesta-8,24-dien-3-β-ol",KE-05944,,,,,,,,,
17,88-04-0,YES,"4-Chloro-3,5-dimethylphenol",KE-05943,,,,,,,,,
18,1321-23-9,YES,Chloroxylenol,KE-05942,,,,,,,,,
19,28515-15-3,YES,Chlorotrimethylsilane polymer with tetrachlorosilane,KE-05941,,,,,,,,,
20,71889-01-5,YES,"Chlorotrimethylsilane, hydrolysis products with silica",KE-05940,,,,,,,,,
21,75-77-4,YES,Chlorotrimethylsilane,KE-05939,2023-1-1141,,,,,,,유독물질 : 트리메틸클로로실란[Chlorotrimethylsilane; 75-77-4] 및 이를 25% 이상 함유한 혼합물,
22,25981-83-3,YES,"5-Chloro-2,3,3-trimethyl-3H-indole",KE-05938,,,,,,,,,
23,999-81-5,YES,"2-Chloro-N,N,N-trimethylethanaminium chloride; Chlorocholine chloride, Chlormequat chloride",KE-05937,,,,,,,,,
24,126-07-8,YES,"7-Chloro-2',4,6-trimethoxy-6'-methylspiro[benzofuran-2(3H),1'-[2]cyclohexene]-3,4'-dione; Griseofulvin, Amudane",KE-05936,,,,,,,,,
25,98143-58-9,YES,"Cistus incanus creticus, ext.",KE-06033,,,,,,,,,
26,140-27-2,YES,Cinnamyl isopentanoate; Cinnamyl isovalerate,KE-06032,,,,,,,,,
27,,YES,Cinnamyl alkanoate(C=3-9),KE-06031,,,,,,,,,
28,97952-52-8,YES,"Cinnamomum massoia, ext.",KE-06030,,,,,,,,,
29,97926-28-8,YES,"Cinnamomum batavia, ext",KE-06029,,,,,,,,,
30,,YES,"Cinnamene, diethenylbenzene polymer with ethenyl ethyl benzene, aminomethylated, acid",KE-06028,,,,,,,,,
31,97926-27-7,YES,"Cinchona robusta, ext.",KE-06027,,,,,,,,,
32,98653-85-1,YES,"Cinchona pitayensis, ext.",KE-06026,,,,,,,,,
33,154-23-4,YES,Cianidanol,KE-06025,,,,,,,,,
34,12017-68-4,YES,Cobalt compound with samarium (5:1),KE-06088,,,,,,,,,
35,12017-43-5,YES,Cobalt compound with samarium (2:1),KE-06087,,,,,,,,,
36,12268-07-4,YES,Cobalt compound with lanthanum (7:2),KE-06086,,,,,,,,,
37,12297-66-4,YES,Cobalt compound with lanthanum (5:1),KE-06085,,,,,,,,,
38,61419-68-9,YES,Cobalt compound with lanthanum (3:1),KE-06084,,,,,,,,,
39,11139-24-5,YES,Cobalt compound with gadolinium (7:2),KE-06083,,,,,,,,,
40,12017-61-7,YES,Cobalt compound with gadolinium (5:1),KE-06082,,,,,,,,,
41,12017-50-4,YES,Cobalt compound with gadolinium (3:1),KE-06081,,,,,,,,,
42,,YES,Cobalt(II) complex of 3-[2-benzimidazoylimino]isoindolin-1-one(1:2),KE-06080,,,,,,,,,
43,513-79-1,YES,Cobalt carbonate,KE-06079,2024-1-1198,,,,,별표-144,,유독물질 : 탄산 코발트[Cobalt carbonate; 513-79-1] 및 이를 0.1% 이상 함유한 혼합물,
44,12006-78-9,YES,Cobalt boride (Co3B),KE-06078,,,,,,,,,
45,12045-01-1,YES,Cobalt boride (Co2B),KE-06077,,,,,,,,,
46,12006-77-8,YES,Cobalt boride (CoB),KE-06076,,,,,,,,,
47,12619-68-0,YES,Cobalt boride,KE-06075,,,,,,,,,
48,91782-61-5,YES,"Cobalt, borate propionate complexes",KE-06074,2024-1-1197,,,,,,,"유독물질 : 코발트, 붕산 프로피온산 착화합물[Cobalt, borate propionate complexes; 91782-61-5] 및 이를 0.1% 이상 함유한 혼합물",
49,68457-13-6,YES,"Cobalt, borate neodecanoate complexes",KE-06073,2024-1-1196,,,,,,,"유독물질 : 코발트, 붕산 네오데칸산 착화합물[Cobalt, borate neodecanoate complexes; 68457-13-6] 및 이를 0.1% 이상 함유한 혼합물",
