CAS Number,CAS Name,Name,Approval
1918-02-1,"2-Pyridinecarboxylic acid, 4-amino-3,5,6-trichloro-",Picloram,Does not have an individual approval but may be used under an appropriate group standard
1920-05-4,"1-Dodecanamine, N,N-dimethyl-, acetate","1-Dodecanamine, N,N-dimethyl-, acetate",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1956-11-2,"Dodecanoic acid, 4-nitrophenyl ester","Dodecanoic acid, 4-nitrophenyl ester",Does not have an individual approval but may be used under an appropriate group standard
1968-05-4,"1H-Indole, 3,3'-methylenebis-","3,3 Diindolylmethane",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1972-08-3,"6H-Dibenzo[b,d]pyran-1-ol, 6a,7,8,10a-tetrahydro-6,6,9-trimethyl-3-pentyl-, (6aR,10aR)-",Delta-9-tetrahydrocannabinol,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1984-06-1,"Octanoic acid, sodium salt",Sodium octanoate,Does not have an individual approval but may be used under an appropriate group standard
2038-03-1,4-Morpholineethanamine,N-(2-Aminoethyl) morpholine,Does not have an individual approval but may be used under an appropriate group standard
2050-01-3,"Propanoic acid, 2-methyl-, 3-methylbutyl ester","Propanoic acid, 2-methyl-, 3-methylbutyl ester",Does not have an individual approval but may be used under an appropriate group standard
2050-09-1,"Pentanoic acid, 3-methylbutyl ester","Pentanoic acid, 3-methylbutyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2081-12-1,"2-Propanol, 2-methyl-, zirconium(4+) salt","2-Propanol, 2-methyl-, zirconium(4+) salt",Does not have an individual approval but may be used under an appropriate group standard
2090-05-3,"Benzoic acid, calcium salt",Calcium benzoate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2095-01-4,"1,3-Benzenediamine, 4,6-diethyl-2-methyl-","1,3-Benzenediamine, 4,6-diethyl-2-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
2095-02-5,"1,3-Benzenediamine, 2,4-diethyl-6-methyl-","1,3-Benzenediamine, 2,4-diethyl-6-methyl-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
