Substance name,EC/List no.,CAS no.,BAS number,Product-type,Review Programme flag,New active substance flag,Annex I substance flag,Inclusion Category,Approval start date,Approval end date,Evaluating competent authority,Approval status,Assessment status,Assessment sub-status,Legal act,Link to legal act,R4BP asset number,Candidate for substitution,Factsheet URL,Related authorised biocidal products,RML ID,Substance information page
(+)-Tartaric acid,201-766-0,87-69-4,1424,,false,,true,1,01/09/2013,,-,Approved,,,Regulation (EU) 528/2012 Annex I,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32012R0528,EU-0012339-0000,,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1424/null,63,100.001.606,https://echa.europa.eu/substance-information/-/substanceinfo/100.001.606
"(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclo-propanecarboxylate (d-Tetramethrin)",214-619-0,1166-46-7,1299,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,,,Germany,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1299/PT18,0,100.013.290,https://echa.europa.eu/substance-information/-/substanceinfo/100.013.290
(13Z)-Hexadec-13-en-11-yn-1-yl acetate,642-968-2,78617-58-0,1923,PT19-Repellents and attractants,false,true,false,0,01/06/2023,31/05/2033,France,Approved,,,Implementing Regulation (EU) 2023/1079,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1079,EU-0028422-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1923/PT19,1,100.170.866,https://echa.europa.eu/substance-information/-/substanceinfo/100.170.866
"(2R,6aS,12aS)-1,2,6,6a,12,12a-hexa- hydro-2-isopropenyl-8,9-dimethoxychro- meno[3,4-b]furo[2,3-h]chromen-6-one (Rotenone)",201-501-9,83-79-4,1375,PT17-Piscicides,true,false,false,0,,,Poland,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1375/PT17,0,100.001.365,https://echa.europa.eu/substance-information/-/substanceinfo/100.001.365
"(9Z,12E)-Tetradeca-9, 12-dien-1-yl acetate",608-490-3,30507-70-1,58,PT19-Repellents and attractants,true,false,false,0,,,Austria,No longer supported,,,Directive 2011/11/EU,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32011L0011,EU-0005408-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/58/PT19,12,100.112.543,https://echa.europa.eu/substance-information/-/substanceinfo/100.112.543
"(9Z,12E)-tetradeca-9,12-dien-1-yl acetate",608-490-3,30507-70-1,1433,,false,,true,6,01/09/2013,,-,Approved,,,Regulation (EU) 528/2012 Annex I,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32012R0528,EU-0012350-0000,,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1433/null,24,100.112.543,https://echa.europa.eu/substance-information/-/substanceinfo/100.112.543
(benzothiazol-2-ylthio)methyl thiocyanate (TCMTB),244-445-0,21564-17-0,1215,"PT09-Fibre, leather, rubber and polymerised materials preservatives",true,false,false,0,,,Norway,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1215/PT09,0,100.040.390,https://echa.europa.eu/substance-information/-/substanceinfo/100.040.390
(benzothiazol-2-ylthio)methyl thiocyanate (TCMTB),244-445-0,21564-17-0,1215,PT12-Slimicides,true,false,false,0,,,Norway,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1215/PT12,0,100.040.390,https://echa.europa.eu/substance-information/-/substanceinfo/100.040.390
(benzyloxy)methanol,238-588-8,14548-60-8,1216,PT06-Preservatives for products during storage,true,false,false,0,,,Austria,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1216/PT06,0,100.035.065,https://echa.europa.eu/substance-information/-/substanceinfo/100.035.065
(benzyloxy)methanol,238-588-8,14548-60-8,1216,PT13-Working or cutting fluid preservatives,true,false,false,0,,,United Kingdom,No longer supported,,,COMMISSION IMPLEMENTING DECISION (EU) 2023/458,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0458,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1216/PT13,0,100.035.065,https://echa.europa.eu/substance-information/-/substanceinfo/100.035.065
"(E)-1-(2-Chloro-1,3-thiazol-5-ylmethyl)-3- methyl-2-nitroguanidine (Clothianidin)",433-460-1,210880-92-5,15,PT08-Wood preservatives,true,false,false,0,01/02/2010,31/01/2020,Germany,Expired,,,Directive 2008/15/EC,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32008L0015,EU-0005358-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/15/PT08,0,100.103.171,https://echa.europa.eu/substance-information/-/substanceinfo/100.103.171
"(E)-1-(2-Chloro-1,3-thiazol-5-ylmethyl)-3- methyl-2-nitroguanidine (Clothianidin)",433-460-1,210880-92-5,15,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,01/10/2016,30/09/2026,Germany,Approved,,,REGULATION (EU) 2015/985,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32015R0985,EU-0012168-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/15/PT18,5,100.103.171,https://echa.europa.eu/substance-information/-/substanceinfo/100.103.171
