Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
Endosulfan and its isomers,,-,-,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
Endosulfan,,204-079-4,115-29-7,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
beta-Endosulfan,,625-635-6,33213-65-9,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
alpha-Endosulfan,,625-034-9,959-98-8,Yes,19-Jun-2012,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2012.159.01.0001.01.ENG&toc=OJ:L:2012:159:TOC"">Commission Regulation (EU) No 519/2012 of 19 June 2012 amending Regulation (EC) No 850/2004 as regards as Annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>","Annex I, part A#Annex IV",12-Nov-2020
Heptabromodiphenyl ether (Group),,-,-,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
"Diphenyl ether, heptabromo derivative",,273-031-2,68928-80-3,Yes,24-Aug-2010,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.223.01.0029.01.ENG&toc=OJ:L:2010:223:TOC"">Regulation (EU) No 757/2010 of 24 August 2010 amending Regulation (EC) No 850/2004 as regards as Annexes I and III</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex IV",12-Nov-2020
Hexabromocyclododecane (HBCDD),and all major diastereoisomers identified,-,-,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
Hexabromocyclododecane,,247-148-4,25637-99-4,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
gamma-hexabromocyclododecane,,603-804-5,134237-52-8,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,2,5,6,9,10-hexabromocyclodecane",,221-695-9,3194-55-6,Yes,01-Mar-2016,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.055.01.0004.01.ENG&toc=OJ:L:2016:055:TOC"">Commission Regulation (EU) 2016/293 of 1 March 2016 amending Regulation (EC) No 850/2004 as regards as annex I</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2016.080.01.0017.01.ENG&toc=OJ:L:2016:080:TOC"">Commission Regulation (EU) 2016/460 of 30 March 2016 amending Annexes IV and V to Regulation (EC) No 850/2004</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2024/2555/oj"">Commission Delegated Regulation (EU) 2024/2555 of 21 March 2024 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards hexabromocyclododecane</a>","Annex I, part A#Annex IV",12-Nov-2020
