ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
1,50-00-0,50000,,,Formaldehyde,,,,ACTIVE
2,50-01-1,50011,,,"Guanidine, hydrochloride (1:1)",,,,ACTIVE
3,50-02-2,50022,,,"Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11.beta.,16.alpha.)-",,,,ACTIVE
4,50-07-7,50077,,,"Azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione, 6-amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methyl-, (1aS,8S,8aR,8bS)-",,,S,ACTIVE
5,50-14-6,50146,,,"Cyclohexanol, 4-methylene-3-[(2E)-2-[(1R,3aS,7aR)-octahydro-7a-methyl-1-[(1R,2E,4R)-1,4,5-trimethyl-2-hexen-1-yl]-4H-inden-4-ylidene]ethylidene]-, (1S,3Z)-",,,,ACTIVE
6,50-21-5,50215,,,"Propanoic acid, 2-hydroxy-",,,,ACTIVE
7,50-23-7,50237,,,"Pregn-4-ene-3,20-dione, 11,17,21-trihydroxy-, (11.beta.)-",,,,ACTIVE
8,50-24-8,50248,,,"Pregna-1,4-diene-3,20-dione, 11,17,21-trihydroxy-, (11.beta.)-",,,,ACTIVE
9,50-29-3,50293,,,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-",,,S,ACTIVE
10,50-30-6,50306,,,"Benzoic acid, 2,6-dichloro-",,,PMN; S; 5E,ACTIVE
11,50-31-7,50317,,,"Benzoic acid, 2,3,6-trichloro-",,,PMN; S; 5E,ACTIVE
12,50-32-8,50328,,,Benzo[a]pyrene,,,,ACTIVE
13,50-33-9,50339,,,"3,5-Pyrazolidinedione, 4-butyl-1,2-diphenyl-",,,,ACTIVE
14,50-34-0,50340,,,"2-Propanaminium, N-methyl-N-(1-methylethyl)-N-[2-[(9H-xanthen-9-ylcarbonyl)oxy]ethyl]-, bromide (1:1)",,,,INACTIVE
15,50-43-1,50431,,,"Benzoic acid, 2,4,6-trichloro-",,,PMN; S; 5E,ACTIVE
16,50-45-3,50453,,,"Benzoic acid, 2,3-dichloro-",,,PMN; S; 5E,ACTIVE
17,50-54-4,50544,,,"Cinchonan-9-ol, 6'-methoxy-, (9S)-, sulfate (2:1)",,,,INACTIVE
18,50-55-5,50555,,,"Yohimban-16-carboxylic acid, 11,17-dimethoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]-, methyl ester, (3.beta.,16.beta.,17.alpha.,18.beta.,20.alpha.)-",,,S,ACTIVE
19,50-69-1,50691,,,D-Ribose,,,,ACTIVE
20,50-70-4,50704,,,D-Glucitol,,,,ACTIVE
21,50-71-5,50715,,,"2,4,5,6(1H,3H)-Pyrimidinetetrone",,,,ACTIVE
22,50-73-7,50737,,,"Benzoic acid, 2,3,5-trichloro-",,,PMN; S; 5E,ACTIVE
23,50-78-2,50782,,,"Benzoic acid, 2-(acetyloxy)-",,,,ACTIVE
24,50-79-3,50793,,,"Benzoic acid, 2,5-dichloro-",,,,ACTIVE
25,50-81-7,50817,,,L-Ascorbic acid,,,,ACTIVE
26,50-82-8,50828,,,"Benzoic acid, 2,4,5-trichloro-",,,PMN; S; 5E,ACTIVE
27,50-84-0,50840,,,"Benzoic acid, 2,4-dichloro-",,,,ACTIVE
